"","id","overall_summary","data_pro_summary","spatial_task_summary","scalability_summary","method","spfracZero","spLibSize","spEffLibSize","spTMM","spScaledVar","spScaledMean","splibsizeFracezero","spCorPearson","ftFracZero","ftScaledVar","ftScaledMean","ftPearson","ftScaleMeanVal","ftMeanFraczero","TM","NWE","CSM","celltype_interaction","L_stats","nn_correlation","morans_I","ARI","NMI","recall_svg","precision_svg","rmse_ctprob","jsd_ctprob","mantel_cor","cosine_cor","pred_time_cells200_features200","pred_time_cells3000_features500","pred_time_cells5000_features1000","pred_memory_cells200_features200","pred_memory_cells3000_features500","pred_memory_cells5000_features1000","predstring_time_cells200_features200","predstring_time_cells3000_features500","predstring_time_cells5000_features1000","predstring_memory_cells200_features200","predstring_memory_cells3000_features500","predstring_memory_cells5000_features1000"
"1","SRTsim_rf",12.5,10.4285714285714,10.125,11.8333333333333,"SRTsim_rf",0.873887534,0.805037737,-3.533391116,-0.503380834,-22.08943083,-0.344215025,-0.774138275,0.098497685,-0.051978856,-8.129215052,0.060889141,-0.007692416,-10.73939665,-11.15284474,-0.261515793,-0.837929406,-0.310603929,0.081930069,1.285762641,-0.765472881,-2.251427809,0.579529461,0.601310658,0.780381272,0.806611092,-0.030234438,-0.083547184,-0.909995401,0.909995401,-1,-11,-32,-1941204,-2059443,-2128216,"1s","11s","32s","1.9G","2G","2G"
"2","SRTsim",12.1666666666667,10.4761904761905,10.125,9.66666666666667,"SRTsim",3.318306324,-0.020328515,-1.581990142,-0.982493007,-42.51484446,-2.207673668,-4.54081191,-2.798250897,0.236894743,-21.79882708,0.143634392,0.146082936,-21.3749587,-0.509009177,-0.295701727,-0.759067851,-0.255134061,1.287347372,1.220741174,0.947039131,-0.19446493,0.57803561,0.58059373,0.7989283,0.842252624,-0.028125806,-0.085046869,-0.947174528,0.947174528,-4,-19,-50,-2212423,-2232741,-2503995,"4s","19s","50s","2.1G","2.1G","2.4G"
"3","SPARsim",9.5,8.71428571428571,6.875,9.08333333333333,"SPARsim",-3.875332963,1.294740261,-3.961649911,-3.657418452,-26.28363977,0.373573772,-11.07566038,-21.3891837,-0.731889552,-40.61708001,-20.27936353,-2.2627588,-148.9817102,-0.477160208,-0.182374291,-0.515952093,-0.236111885,2.640246127,0.740913244,-14.05970664,-5.175632808,0.934333972,0.921387455,0.520124191,0.631016068,-0.091258053,-0.24168873,-0.681348785,0.681348785,-21,-43,-66,-1696115,-3635721,-4001645,"21s","43s","1.1m","1.6G","3.5G","3.8G"
"4","scDesign3_poi_rf",7.5,6.95238095238095,8.375,5.25,"scDesign3_poi_rf",-18.56071613,-17.25325909,-4.329375214,-4.999679836,-42.1971332,-2.227733712,-17.88131311,-11.68926431,-1.945138276,-2.553785713,0.255154181,-1.881744863,-8.54893307,-15.62587705,-0.553323275,-1.289055998,-0.535670882,0.734993732,1.177066033,-6.391626738,-10.12100001,0.263770505,0.270331469,0.831859928,0.670750437,-0.063748418,-0.153723823,-0.825130808,0.825130808,-21,-711,-2092,-1852625,-4336100,-7646784,"21s","11.8m","34.9m","1.8G","4.1G","7.3G"
"5","scDesign3_poi",6.5,7.09523809523809,8.375,3.66666666666667,"scDesign3_poi",-18.56071613,-17.25325909,-4.329375214,-4.999679836,-42.1971332,-2.227733712,-17.88131311,-11.07733512,-1.945138276,-2.553785713,0.255154181,-1.663613732,-8.54893307,-15.62587705,-0.553323275,-1.264026292,-0.535670882,0.734993732,1.177066033,-6.391626738,-10.12100001,0.263770505,0.270331469,0.831859928,0.670750437,-0.063748418,-0.153723823,-0.825130808,0.825130808,-23,-843,-2631,-1945085,-4274201,-7676111,"23s","14.1m","43.9m","1.9G","4.1G","7.3G"
"6","scDesign3_nb_rf",6.33333333333333,8.57142857142857,6.875,3.91666666666667,"scDesign3_nb_rf",-4.381954839,-3.858601786,-1.41707876,-1.106700713,-39.03232104,-2.355102066,-4.484557375,-2.315915249,0.278538589,-13.2654835,0.065535452,-3.953340889,-30.97721997,-1.046269334,-0.435203764,-1.183202028,-0.392144898,0.882176397,0.966382638,-2.747773386,-1.612248604,0.208910366,0.214288996,0.740164177,0.749670513,-0.080656913,-0.192585994,-0.790023724,0.790023724,-54,-748,-2094,-1963884,-4302020,-6604235,"54s","12.5m","34.9m","1.9G","4.1G","6.3G"
"7","scDesign3_nb",6.16666666666667,8.66666666666667,6.375,3.91666666666667,"scDesign3_nb",-4.335923129,-3.833668514,-1.399891473,-1.190738414,-38.79441302,-2.351485876,-4.562750046,-1.261731745,0.277028045,-13.22163208,0.064251917,-3.644171238,-31.19827103,-1.044783269,-0.433449852,-1.18903616,-0.381738739,0.87124296,0.962049148,-2.756279239,-1.585024736,0.208715499,0.21427303,0.740164177,0.749670513,-0.080663112,-0.192661365,-0.789925105,0.789925105,-54,-762,-2113,-1942827,-4287208,-6648315,"54s","12.7m","35.2m","1.9G","4.1G","6.3G"
"8","zinbwave",6,6.76190476190476,7,5,"zinbwave",2.214343337,0.740196934,-23.05582478,-6.794504844,-34.52096466,0.033038781,-0.619148075,-21.86689882,0.309854526,-41.77142245,0.067201545,-5.375121384,-68.11412259,0.350590167,-0.610317623,-1.73141948,-0.541312525,-0.684173938,0.996959282,-24.10513829,-6.004633946,0.445872682,0.470105917,0.499814959,0.625212333,-0.075002718,-0.176904403,-0.67648954,0.67648954,-3,-40,-248,-14291297,-17424745,-22860085,"3s","40s","4.1m","13.6G","16.6G","21.8G"
"9","splatter",5.83333333333333,4.33333333333333,5.5,11.3333333333333,"splatter",-8.883998321,-1.368827875,-23.66809867,-15.20055024,-46.61259824,-2.686119739,-27.33067101,-40.60801345,-23.59081479,-114.1521411,-23.90528042,-8.785580942,-189.7723973,-31.876851,-0.379961852,-1.107869469,-0.262090092,0.17415286,0.144959434,-11.41045869,-7.595730247,0.845383362,0.873215633,0.396919249,0.416759795,-0.154559323,-0.500808005,-0.516080683,0.516080683,-2,-6,-13,-2137601,-1842411,-2250095,"2s","6s","13s","2G","1.8G","2.1G"
"10","scDesign3_gau",5.83333333333333,4.42857142857143,6,7.58333333333333,"scDesign3_gau",-71.40876383,-23.24428851,-5.639370487,-4.436228469,-54.2438482,-5.879359663,-45.23317693,-12.00397343,-37.83088475,-0.476795961,-8.768942544,-2.131631966,-60.52417129,-102.2866668,-0.613219428,-1.573182901,-0.694654024,2.129381205,0.599105485,-14.4375245,-6.660988766,0.111550051,0.124749327,0.752037374,0.761139218,-0.089691278,-0.235293411,-0.724660888,0.724660888,-17,-598,-1656,-1817957,-4155757,-6441291,"17s","10m","27.6m","1.7G","4G","6.1G"
